Chromosome	chromStart	chromEnd	GeneName	AVSLBP	AVFB25	AVFB50	AVPPMPl0	AVPPMP20	AVPDMP10	AVPDMP20	IDinTL	previously.identfied
chr1	9700000	9800000	Q3UM63	1	0	0	0	0	-1	0	0	0
chr1	9800000	9900000	Q544C3	1	0	0	0	0	-1	-1	1	0
chr1	9900000	10000000	Q61730	1	-1	-1	0	0	-1	-1	1	0
chr1	10000000	10100000	Q62312	1	-1	0	1	1	0	0	0	0
chr1	10100000	10200000	Q66JT1	1	-1	-1	0	0	0	0	0	0
chr1	10200000	10300000	Q69ZF7	1	-1	-1	0	0	0	0	0	0
chr1	10300000	10400000	Q6PHU5	1	0	0	0	0	0	1	1	0
chr1	10400000	10500000	Q80UP8	1	-1	-1	0	-1	0	0	0	0
chr1	10500000	10600000	Q8BIF0	1	-1	-1	-1	-1	-1	-1	1	0
chr1	10600000	10700000	Q8BKU8	1	-1	-1	0	0	0	0	0	0
chr1	10700000	10800000	Q8BKU8	1	0	0	0	0	0	0	0	0
chr1	10800000	10900000	Q8BLI4	1	-1	-1	0	0	0	-1	1	0
chr1	10900000	11000000	Q8BMW7	1	0	0	0	0	-1	-1	1	0
chr1	11000000	11100000	Q8BXN9	1	0	0	0	0	0	0	0	0
chr1	11100000	11200000	Q8BY89	1	-1	-1	0	-1	-1	-1	1	0
chr1	11200000	11300000	Q8C0Z1	1	-1	-1	1	0	-1	0	0	0
chr1	11300000	11400000	Q8C145	1	-1	-1	0	0	0	-1	1	0
chr1	11400000	11500000	Q8C1F4	1	-1	0	0	0	0	-1	1	0
chr1	11500000	11600000	Q8C561	1	0	0	0	0	0	0	0	0
chr1	11600000	11700000	Q8C850	1	-1	-1	1	1	-1	0	0	0
chr1	11700000	11800000	Q8CCH2	1	1	1	0	0	0	0	0	0
chr1	11800000	11900000	Q8K2C7	1	0	0	0	0	0	0	0	0
chr1	11900000	12000000	Q8K2I4	1	1	1	0	0	0	0	0	0
chr1	12000000	12100000	Q8K2J7	1	-1	-1	0	0	-1	-1	1	0
chr1	12100000	12200000	Q8QZY6	1	-1	-1	0	0	0	0	0	0
chr1	12200000	12300000	Q8R4H9	1	0	0	0	0	0	0	0	0
chr1	12300000	12400000	Q8VHR0	1	1	0	1	1	0	0	0	0
chr1	12400000	12500000	Q91V01	1	0	0	0	0	0	0	0	0
chr1	12500000	12600000	Q91VD8	1	-1	-1	1	1	0	-1	1	0
chr1	12600000	12700000	Q91VR7	1	1	1	1	1	1	1	1	0
chr1	12700000	12800000	Q91WD0	1	0	0	0	0	-1	-1	1	0
chr1	12800000	12900000	Q91ZD4	1	0	0	0	0	0	0	0	0
chr1	12900000	13000000	Q922Q1	1	0	0	0	0	0	0	0	0
chr1	13000000	13100000	Q99KK1	1	0	0	0	-1	0	0	0	0
chr1	13100000	13200000	Q99KW9	1	0	1	1	1	0	0	0	0
chr1	13200000	13300000	Q9CWT6	1	0	-1	1	1	0	0	0	0
chr1	13300000	13400000	Q9D024	1	-1	-1	0	0	0	0	0	0
chr1	13400000	13500000	Q9DBP5	1	0	1	1	1	0	1	1	0
chr1	13500000	13600000	Q9DCG2	1	0	-1	0	0	-1	-1	1	0
chr1	13600000	13700000	Q9DCG2	1	-1	-1	0	-1	0	-1	1	0
chr1	13700000	13800000	Q9EP69	1	0	0	0	0	0	-1	1	0
chr1	13800000	13900000	Q9EQG9	1	-1	0	0	0	0	1	1	0
chr1	13900000	14000000	Q9JIW9	1	-1	0	0	1	0	0	0	0
chr1	14000000	14100000	Q9JJF9	1	0	0	0	-1	0	0	0	0
chr1	14100000	14200000	Q9R118	1	1	0	0	0	0	-1	1	0
chr1	14200000	14300000	Q9R1X5	1	0	0	1	0	0	0	0	0
chr1	14300000	14400000	Q9Z0J0	1	1	1	-1	-1	1	0	0	0
chr1	14400000	14500000	Q9Z0L8	1	1	1	-1	-1	1	0	0	0
chr1	14500000	14600000	Q9Z0M5	1	1	0	1	-1	0	0	0	0
chr1	14600000	14700000	Q9Z2G6	1	0	-1	0	0	0	0	0	0
chr1	14700000	14800000	A6MDD3	1	0	1	1	0	0	0	0	0
chr1	14800000	14900000	D3YVV1	1	0	0	0	0	0	0	0	0
chr1	14900000	15000000	E9PX70	1	1	0	0	0	1	1	1	0
chr1	15000000	15100000	F8WGU1	1	-1	0	0	0	0	0	0	0
chr1	15100000	15200000	H3BL26	1	0	0	-1	-1	-1	-1	1	0
chr1	15200000	15300000	O88502	1	-1	-1	0	-1	0	0	0	0
chr1	15300000	15400000	P39876	1	1	1	-1	0	-1	-1	1	0
chr1	15400000	15500000	Q14BL1	1	0	0	0	0	0	0	0	0
chr1	15500000	15600000	Q60961	1	1	-1	1	0	0	1	1	0
chr1	15600000	15700000	Q61941	1	0	0	1	1	0	0	0	0
chr1	15700000	15800000	Q64430	1	0	-1	0	-1	0	0	0	0
chr1	15800000	15900000	Q8BHE8	1	0	0	1	0	0	0	0	0
chr1	15900000	16000000	Q91YE7	1	-1	-1	0	0	0	0	0	0
chr1	16000000	16100000	Q9CQK7	1	0	0	1	1	0	1	1	0
chr1	16100000	16200000	Q9EPR5	1	1	0	0	0	0	0	0	0
chr1	16200000	16300000	A2A8R9	1	0	0	0	0	0	0	0	2
chr1	16300000	16400000	A2AQY3	1	1	0	0	0	1	0	0	2
chr1	16400000	16500000	D3YVW2	1	-1	-1	0	0	0	0	0	2
chr1	16500000	16600000	F7C279	1	-1	-1	0	0	0	0	0	2
chr1	16600000	16700000	G5E829	1	-1	-1	0	0	0	0	0	2
chr1	16700000	16800000	G5E830	1	0	0	1	1	0	0	0	2
chr1	16800000	16900000	H3BJ71	1	-1	-1	0	0	0	0	0	2
chr1	16900000	17000000	O09159	1	1	1	0	0	0	0	0	2
chr1	17000000	17100000	O35245	1	0	0	0	0	0	-1	1	2
chr1	17100000	17200000	O70503	1	-1	-1	0	0	0	0	0	2
chr1	17200000	17300000	P15379	1	-1	-1	-1	-1	0	-1	1	2
chr1	17300000	17400000	P18572	1	-1	-1	-1	-1	-1	-1	1	2
chr1	17400000	17500000	P27046	1	-1	-1	0	0	0	0	0	2
chr1	17500000	17600000	P35441	1	1	0	0	-1	0	0	0	2
chr1	17600000	17700000	P37040	1	-1	-1	-1	-1	0	0	0	2
chr1	17700000	17800000	P43883	1	-1	-1	1	-1	0	0	0	2
chr1	17800000	17900000	P58281	1	0	0	0	0	0	0	0	2
chr1	17900000	18000000	P59017	1	0	0	0	0	0	0	0	2
chr1	18000000	18100000	P60521	1	1	1	0	0	1	0	0	2
chr1	18100000	18200000	Q07113	1	0	0	0	0	0	0	0	2
chr1	18200000	18300000	Q09163	1	-1	-1	-1	0	0	-1	1	2
chr1	18300000	18400000	Q1XID4	1	0	0	1	1	-1	0	0	2
chr1	18400000	18500000	Q3THM8	1	-1	-1	0	0	0	0	0	2
chr1	18500000	18600000	Q3TMX0	1	1	1	1	1	1	1	1	2
chr1	18600000	18700000	Q4FJY3	1	0	-1	1	1	0	0	0	2
chr1	18700000	18800000	Q542D9	1	0	0	0	0	0	0	0	2
chr1	18800000	18900000	Q61584	1	0	0	0	0	0	0	0	2
chr1	18900000	19000000	Q62009	1	0	0	0	0	-1	-1	1	2
chr1	19000000	19100000	Q64337	1	1	1	1	1	0	-1	1	2
chr1	19100000	19200000	Q6GTJ9	1	0	0	0	0	0	0	0	2
chr1	19200000	19300000	Q6P1H6	1	0	0	1	0	0	0	0	2
chr1	19300000	19400000	Q8BH04	1	0	0	1	0	0	1	1	2
chr1	19400000	19500000	Q8BM72	1	0	-1	0	1	0	0	0	2
chr1	19500000	19600000	Q8BMG8	1	1	0	0	1	0	0	0	2
chr1	19600000	19700000	Q8BVE8	1	0	0	0	0	0	0	0	2
chr1	19700000	19800000	Q8C129	1	1	1	0	0	0	0	0	2
chr1	19800000	19900000	Q8K4Q8	1	0	0	0	0	0	0	0	2
chr1	19900000	20000000	Q8R404	1	0	0	0	0	0	0	0	2
chr1	20000000	20100000	Q8VBZ3	1	-1	-1	0	0	0	0	0	2
chr1	20100000	20200000	Q9CQ45	1	0	1	0	1	0	0	0	2
chr1	20200000	20300000	Q9D281	1	-1	-1	-1	0	0	0	0	2
chr1	20300000	20400000	Q9DBZ1	1	0	0	0	0	-1	0	0	2
chr1	20400000	20500000	Q9JHF5	1	0	0	0	0	0	0	0	2
chr1	20500000	20600000	Q9R1B9	1	1	1	0	-1	0	1	1	2
chr1	20600000	20700000	Q9WV91	1	-1	-1	0	0	0	0	0	2
chr1	20700000	20800000	Q9WVJ3	1	1	1	-1	-1	0	0	0	2
chr1	20800000	20900000	Q9Z247	1	0	0	0	0	0	0	0	2
chr1	20900000	21000000	Q9Z2I0	1	0	0	0	0	0	0	0	2
chr1	21000000	21100000	O88696	1	0	0	0	0	0	0	0	2
chr1	21100000	21200000	Q3TSS7	1	0	0	0	0	1	1	1	2
chr1	21200000	21300000	Q8VCX5	1	0	0	0	0	0	0	0	2
chr1	21300000	21400000	A2ALW3	1	0	0	0	-1	1	0	0	1
chr1	21400000	21500000	A2CG14	1	0	0	0	0	0	0	0	1
chr1	21500000	21600000	A2RSV8	1	0	0	0	0	0	0	0	1
chr1	21600000	21700000	B2RUP8	1	1	1	0	0	0	0	0	1
chr1	21700000	21800000	B9EHY2	1	0	0	0	0	0	0	0	1
chr1	21800000	21900000	E9Q7U2	1	1	1	1	1	0	0	0	1
chr1	21900000	22000000	E9QAH1	1	-1	-1	0	0	0	0	0	1
chr1	22000000	22100000	O08832	1	0	0	0	0	0	0	0	1
chr1	22100000	22200000	O89001	1	-1	-1	0	0	0	0	0	1
chr1	22200000	22300000	O89051	1	0	0	1	1	-1	0	0	1
chr1	22300000	22400000	P06797	1	1	1	0	0	1	0	0	1
chr1	22400000	22500000	P11438	1	0	0	-1	-1	0	0	0	1
chr1	22500000	22600000	P21995	1	-1	-1	-1	0	-1	-1	1	1
chr1	22600000	22700000	P48962	1	0	0	0	0	0	0	0	1
chr1	22700000	22800000	P53986	1	-1	-1	-1	-1	-1	-1	1	1
chr1	22800000	22900000	P70280	1	-1	-1	0	1	-1	0	0	1
chr1	22900000	23000000	P97792	1	-1	0	0	1	0	0	0	1
chr1	23000000	23100000	Q3U962	1	1	1	0	0	-1	0	0	1
chr1	23100000	23200000	Q3UDC9	1	0	0	0	0	0	0	0	1
chr1	23200000	23300000	Q61739	1	0	0	0	0	0	0	0	1
chr1	23300000	23400000	Q62470	1	-1	-1	0	0	0	0	0	1
chr1	23400000	23500000	Q6DID7	1	-1	0	0	0	0	0	0	1
chr1	23500000	23600000	Q7TMR0	1	1	1	0	0	0	1	1	1
chr1	23600000	23700000	Q8BMK4	1	0	0	0	0	0	0	0	1
chr1	23700000	23800000	Q8BP40	1	-1	-1	1	0	0	0	0	1
chr1	23800000	23900000	Q8BP92	1	0	0	1	1	0	0	0	1
chr1	23900000	24000000	Q8BTX9	1	0	0	0	0	0	0	0	1
chr1	24000000	24100000	Q8BVU5	1	0	-1	0	-1	0	0	0	1
chr1	24100000	24200000	Q8C6F5	1	-1	0	0	0	0	0	0	1
chr1	24200000	24300000	Q8K135	1	0	0	0	0	0	-1	1	1
chr1	24300000	24400000	Q8R2Q8	1	-1	-1	0	0	-1	-1	1	1
chr1	24400000	24500000	Q8R2Y2	1	-1	-1	0	-1	-1	-1	1	1
chr1	24500000	24600000	Q8VDL4	1	-1	-1	0	0	0	0	0	1
chr1	24600000	24700000	Q8VDN2	1	-1	-1	0	0	0	0	0	1
chr1	24700000	24800000	Q99M71	1	1	0	0	0	0	0	0	1
chr1	24800000	24900000	Q9CXT7	1	-1	-1	-1	-1	-1	-1	1	1
chr1	24900000	25000000	Q9CZR8	1	0	0	0	0	0	0	0	1
chr1	25000000	25100000	Q9EQJ0	1	-1	-1	0	-1	-1	-1	1	1
chr1	25100000	25200000	Q9R1Q6	1	-1	0	1	0	0	0	0	1
chr1	25200000	25300000	Q9WU62	1	-1	-1	0	0	0	0	0	1
chr1	25300000	25400000	Q9Z127	1	-1	-1	-1	-1	-1	-1	1	1
chr1	25400000	25500000	Q9Z2Z6	1	0	0	0	0	0	0	0	1
chr1	25500000	25600000	A2AUF6	1	0	0	0	0	0	0	0	1
chr1	25600000	25700000	B2RRF0	1	1	0	1	1	0	0	0	1
chr1	25700000	25800000	A2ADS0	1	-1	-1	0	1	-1	0	0	3
chr1	25800000	25900000	A2AJ15	1	-1	-1	-1	-1	0	0	0	3
chr1	25900000	26000000	A2AS71	1	-1	-1	-1	-1	0	-1	1	3
chr1	26000000	26100000	A2BFA6	1	1	1	0	-1	0	0	0	3
chr1	26100000	26200000	A3KGK1	1	0	0	0	0	0	0	0	3
chr1	26200000	26300000	B1AU73	1	-1	0	0	0	0	0	0	3
chr1	26300000	26400000	B2RXS4	1	0	0	1	1	0	0	0	3
chr1	26400000	26500000	D3Z2J6	1	-1	-1	0	0	0	0	0	3
chr1	26500000	26600000	E9PWK1	1	-1	-1	0	-1	-1	-1	1	3
chr1	26600000	26700000	E9PZQ3	1	0	0	0	1	0	0	0	3
chr1	26700000	26800000	E9QMH7	1	-1	0	0	0	0	0	0	3
chr1	26800000	26900000	F8WHM5	1	1	1	1	1	0	0	0	3
chr1	26900000	27000000	G5E899	1	0	0	0	-1	0	0	0	3
chr1	27000000	27100000	G5E8D2	1	-1	-1	0	0	0	0	0	3
chr1	27100000	27200000	O08912	1	0	0	0	0	0	0	0	3
chr1	27200000	27300000	O35114	1	1	0	0	0	0	0	0	3
chr1	27300000	27400000	O35129	1	0	0	0	0	0	0	0	3
chr1	27400000	27500000	O35598	1	-1	-1	0	-1	-1	0	0	3
chr1	27500000	27600000	O54965	1	0	0	0	0	-1	0	0	3
chr1	27600000	27700000	O70252	1	0	-1	0	0	0	0	0	3
chr1	27700000	27800000	P10605	1	1	1	0	-1	0	0	0	3
chr1	27800000	27900000	P16675	1	1	1	0	-1	0	0	0	3
chr1	27900000	28000000	P17047	1	0	0	-1	-1	0	0	0	3
chr1	28000000	28100000	P18406	1	1	0	1	1	0	0	0	3
chr1	28100000	28200000	P21956	1	0	0	0	0	-1	-1	1	3
chr1	28200000	28300000	P28653	1	1	0	1	1	0	-1	1	3
chr1	28300000	28400000	P29533	1	-1	-1	0	0	-1	-1	1	3
chr1	28400000	28500000	P41731	1	0	0	-1	-1	0	0	0	3
chr1	28500000	28600000	P49817	1	-1	-1	0	0	-1	0	0	3
chr1	28600000	28700000	P52800	1	-1	-1	-1	-1	0	-1	1	3
chr1	28700000	28800000	P53690	1	1	1	1	1	0	0	0	3
chr1	28800000	28900000	P54071	1	0	0	0	0	0	0	0	3
chr1	28900000	29000000	P55288	1	1	0	1	1	0	0	0	3
chr1	29000000	29100000	P59325	1	0	0	0	-1	1	0	0	3
chr1	29100000	29200000	P70452	1	-1	-1	-1	-1	-1	-1	1	3
chr1	29200000	29300000	P97300	1	0	0	0	0	0	0	0	3
chr1	29300000	29400000	P97300	1	-1	-1	-1	-1	-1	-1	1	3
chr1	29400000	29500000	Q00493	1	1	0	0	0	0	0	0	3
chr1	29500000	29600000	Q3TWF3	1	0	0	1	1	-1	0	0	3
chr1	29600000	29700000	Q3UKC1	1	1	1	1	1	0	0	0	3
chr1	29700000	29800000	Q4PZA2	1	0	0	0	0	0	0	0	3
chr1	29800000	29900000	Q545I6	1	1	1	0	-1	1	0	0	3
chr1	29900000	30000000	Q60766	1	0	0	0	0	0	0	0	3
chr1	30000000	30100000	Q60932	1	0	0	0	0	0	0	0	3
chr1	30100000	30200000	Q62086	1	-1	-1	-1	-1	-1	-1	1	3
chr1	30200000	30300000	Q62087	1	-1	-1	0	0	-1	-1	1	3
chr1	30300000	30400000	Q62371	1	0	0	0	1	0	0	0	3
chr1	30400000	30500000	Q64449	1	0	0	0	0	0	0	0	3
chr1	30500000	30600000	Q6XLQ8	1	0	0	1	1	0	0	0	3
chr1	30600000	30700000	Q78P93	1	1	1	0	-1	0	0	0	3
chr1	30700000	30800000	Q80WJ7	1	-1	-1	0	0	0	0	0	3
chr1	30800000	30900000	Q8BFR4	1	1	1	0	-1	0	0	0	3
chr1	30900000	31000000	Q8BJS4	1	0	-1	0	0	0	0	0	3
chr1	31000000	31100000	Q8BKE6	1	-1	-1	0	0	0	0	0	3
chr1	31100000	31200000	Q8R127	1	1	0	0	0	0	0	0	3
chr1	31200000	31300000	Q8R2Y0	1	-1	-1	0	0	0	0	0	3
chr1	31300000	31400000	Q8VE88	1	-1	-1	0	0	0	0	0	3
chr1	31400000	31500000	Q91ZX7	1	1	0	0	0	0	0	0	3
chr1	31500000	31600000	Q920A5	1	1	1	0	0	0	0	0	3
chr1	31600000	31700000	Q99KU0	1	-1	-1	0	0	0	0	0	3
chr1	31700000	31800000	Q99L04	1	-1	-1	0	0	-1	-1	1	3
chr1	31800000	31900000	Q99P91	1	1	0	1	1	0	0	0	3
chr1	31900000	32000000	Q9CQF9	1	0	0	0	1	0	0	0	3
chr1	32000000	32100000	Q9ET22	1	1	1	-1	-1	0	0	0	3
chr1	32100000	32200000	Q9JKF7	1	0	0	0	0	0	0	0	3
chr1	32200000	32300000	Q544G5	1	-1	-1	-1	-1	-1	-1	1	3
chr1	32300000	32400000	Q8BGH2	1	0	-1	0	0	-1	0	0	3
chr1	32400000	32500000	D3YZ22	1	0	0	0	0	0	0	0	3
chr1	32500000	32600000	D3Z148	1	0	0	1	0	0	0	0	3
chr1	32600000	32700000	Q8C4F9	1	0	0	-1	-1	0	-1	1	3
chr1	32700000	32800000	Q91VK2	1	-1	0	-1	-1	1	1	1	3
