	Chromosome	chromStart	chromEnd	GeneName	AVSLBP	AVFB25	AVFB50	AVPPMPl0	AVPPMP20	AVPDMP10	AVPDMP20	IDinTL	previously.identfied
54	chr1	42400053	43200053	D3Z512	1	1	1	0	-1	0	0	0	0
55	chr1	43200054	44000054	D3Z5U5	1	N/A	N/A	N/A	N/A	1	1	1	0
56	chr1	44000055	44800055	D6RH67	1	-1	-1	0	0	0	1	1	0
57	chr1	44800056	45600056	E9PWW2	1	0	0	0	0	0	0	0	0
58	chr1	45600057	46400057	E9Q0W5	1	-1	-1	-1	-1	0	0	0	0
59	chr1	46400058	47200058	E9Q6H1	1	1	1	0	0	1	0	0	0
60	chr1	47200059	48000059	E9QM60	1	1	1	-1	-1	0	0	0	0
61	chr1	48000060	48800060	F6R7Y0	1	1	1	0	0	1	0	0	0
62	chr1	48800061	49600061	F6TFF2	1	0	0	-1	-1	0	-1	1	0
63	chr1	49600062	50400062	F6Z4J2	1	-1	-1	-1	-1	-1	-1	1	0
64	chr1	50400063	51200063	F6ZD38	1	1	0	-1	-1	0	0	0	0
65	chr1	51200064	52000064	F8VPK8	1	-1	-1	0	-1	-1	-1	1	0
66	chr1	52000065	52800065	F8VQJ6	1	0	0	-1	-1	0	0	0	0
67	chr1	52800066	53600066	F8WII5	1	1	0	0	-1	0	0	0	0
68	chr1	53600067	54400067	G3UX26	1	0	0	0	0	0	0	0	0
69	chr1	54400068	55200068	G3UY29	1	-1	-1	0	0	0	0	0	0
70	chr1	55200069	56000069	H3BL09	1	-1	-1	0	0	-1	0	0	0
71	chr1	56000070	56800070	O35459	1	0	0	0	0	0	0	0	0
72	chr1	56800071	57600071	O35566	1	-1	-1	-1	-1	0	0	0	0
73	chr1	57600072	58400072	O35607	1	-1	-1	0	-1	-1	-1	1	0
74	chr1	58400073	59200073	O88792	1	0	0	0	0	0	0	0	0
75	chr1	59200074	60000074	P0C5E4	1	-1	-1	0	0	-1	0	0	0
76	chr1	60000075	60800075	P30558	1	-1	-1	1	0	0	1	1	0
77	chr1	60800076	61600076	P35279	1	0	0	1	1	0	0	0	0
78	chr1	61600077	62400077	P35290	1	-1	-1	0	0	0	0	0	0
79	chr1	62400078	63200078	P37889	1	0	0	0	0	0	0	0	0
80	chr1	63200079	64000079	P40237	1	-1	-1	0	-1	-1	-1	1	0
81	chr1	64000080	64800080	P49282	1	0	0	1	1	0	0	0	0
82	chr1	64800081	65600081	P51174	1	0	0	1	1	0	0	0	0
83	chr1	65600082	66400082	P52875	1	-1	-1	0	0	0	0	0	0
84	chr1	66400083	67200083	P55012	1	-1	-1	0	0	0	0	0	0
85	chr1	67200084	68000084	P57716	1	0	0	0	-1	0	0	0	0
86	chr1	68000085	68800085	P57787	1	-1	-1	-1	-1	0	-1	1	0
87	chr1	68800086	69600086	P61750	1	0	0	0	1	0	0	0	0
88	chr1	69600087	70400087	Q05DV1	1	-1	-1	-1	-1	0	0	0	0
89	chr1	70400088	71200088	Q09143	1	-1	-1	0	0	0	0	0	0
90	chr1	71200089	72000089	Q148Z6	1	0	0	0	0	0	0	0	0
91	chr1	72000090	72800090	Q3TCL6	1	-1	-1	0	0	-1	-1	1	0
92	chr1	72800091	73600091	Q3TJQ2	1	0	-1	0	0	0	0	0	0
93	chr1	73600092	74400092	Q3TNH0	1	-1	-1	0	0	0	0	0	0
94	chr1	74400093	75200093	Q3TPR7	1	1	N/A	1	0	-1	-1	1	0
95	chr1	75200094	76000094	Q3TWN7	1	-1	0	0	1	0	-1	1	0
96	chr1	76000095	76800095	Q3U2B2	1	0	0	0	0	0	-1	1	0
97	chr1	76800096	77600096	Q3U967	1	-1	-1	0	0	-1	-1	1	0
98	chr1	77600097	78400097	Q3UM63	1	0	0	0	0	-1	0	0	0
99	chr1	78400098	79200098	Q544C3	1	0	0	N/A	N/A	-1	-1	1	0
100	chr1	79200099	80000099	Q61730	1	-1	-1	0	0	-1	-1	1	0
101	chr1	80000100	80800100	Q62312	1	-1	0	1	1	0	0	0	0
102	chr1	80800101	81600101	Q66JT1	1	-1	-1	0	0	0	0	0	0
103	chr1	81600102	82400102	Q69ZF7	1	-1	-1	0	0	0	0	0	0
104	chr1	82400103	83200103	Q6PHU5	1	N/A	N/A	N/A	N/A	0	1	1	0
105	chr1	83200104	84000104	Q80UP8	1	-1	-1	0	-1	0	0	0	0
106	chr1	84000105	84800105	Q8BIF0	1	-1	-1	-1	-1	-1	-1	1	0
107	chr1	84800106	85600106	Q8BKU8	1	-1	-1	0	0	0	0	0	0
108	chr1	85600107	86400107	Q8BKU8	1	N/A	N/A	0	0	N/A	N/A	N/A	0
109	chr1	86400108	87200108	Q8BLI4	1	-1	-1	0	0	N/A	-1	1	0
110	chr1	87200109	88000109	Q8BMW7	1	0	0	0	0	-1	-1	1	0
111	chr1	88000110	88800110	Q8BXN9	1	0	0	0	0	0	0	0	0
112	chr1	88800111	89600111	Q8BY89	1	-1	-1	0	-1	-1	-1	1	0
113	chr1	89600112	90400112	Q8C0Z1	1	-1	-1	1	0	-1	0	0	0
114	chr1	90400113	91200113	Q8C145	1	-1	-1	0	0	0	-1	1	0
115	chr1	91200114	92000114	Q8C1F4	1	-1	0	0	0	0	-1	1	0
116	chr1	92000115	92800115	Q8C561	1	0	0	N/A	N/A	0	0	0	0
117	chr1	92800116	93600116	Q8C850	1	-1	-1	1	1	-1	0	0	0
118	chr1	93600117	94400117	Q8CCH2	1	1	1	0	0	0	0	0	0
119	chr1	94400118	95200118	Q8K2C7	1	0	0	0	0	0	0	0	0
120	chr1	95200119	96000119	Q8K2I4	1	1	1	N/A	N/A	0	0	0	0
121	chr1	96000120	96800120	Q8K2J7	1	-1	-1	0	0	-1	-1	1	0
122	chr1	96800121	97600121	Q8QZY6	1	-1	-1	N/A	N/A	0	0	0	0
123	chr1	97600122	98400122	Q8R4H9	1	0	0	0	0	0	0	0	0
124	chr1	98400123	99200123	Q8VHR0	1	1	0	1	1	0	0	0	0
125	chr1	99200124	100000124	Q91V01	1	0	0	0	0	0	0	0	0
126	chr1	100000125	100800125	Q91VD8	1	-1	-1	1	1	0	-1	1	0
127	chr1	100800126	101600126	Q91VR7	1	1	1	1	1	1	1	1	0
128	chr1	101600127	102400127	Q91WD0	1	N/A	N/A	N/A	N/A	-1	-1	1	0
129	chr1	102400128	103200128	Q91ZD4	1	N/A	N/A	0	0	0	0	0	0
130	chr1	103200129	104000129	Q922Q1	1	0	0	0	0	0	0	0	0
131	chr1	104000130	104800130	Q99KK1	1	0	0	0	-1	0	0	0	0
132	chr1	104800131	105600131	Q99KW9	1	0	1	1	1	N/A	N/A	N/A	0
133	chr1	105600132	106400132	Q9CWT6	1	0	-1	1	1	0	0	0	0
134	chr1	106400133	107200133	Q9D024	1	-1	-1	N/A	N/A	0	0	0	0
135	chr1	107200134	108000134	Q9DBP5	1	0	1	1	1	0	1	1	0
136	chr1	108000135	108800135	Q9DCG2	1	0	-1	N/A	N/A	-1	-1	1	0
137	chr1	108800136	109600136	Q9DCG2	1	-1	-1	0	-1	0	-1	1	0
138	chr1	109600137	110400137	Q9EP69	1	0	0	0	0	0	-1	1	0
139	chr1	110400138	111200138	Q9EQG9	1	-1	N/A	0	0	0	1	1	0
140	chr1	111200139	112000139	Q9JIW9	1	-1	0	0	1	0	0	0	0
141	chr1	112000140	112800140	Q9JJF9	1	0	0	0	-1	0	0	0	0
142	chr1	112800141	113600141	Q9R118	1	1	0	0	0	0	-1	1	0
143	chr1	113600142	114400142	Q9R1X5	1	N/A	N/A	1	0	0	0	0	0
144	chr1	114400143	115200143	Q9Z0J0	1	1	1	-1	-1	1	0	0	0
145	chr1	115200144	116000144	Q9Z0L8	1	1	1	-1	-1	1	0	0	0
146	chr1	116000145	116800145	Q9Z0M5	1	1	0	1	-1	0	0	0	0
147	chr1	116800146	117600146	Q9Z2G6	1	0	-1	0	0	0	0	0	0
148	chr1	117600147	118400147	A6MDD3	1	0	1	1	0	0	0	0	0
149	chr1	118400148	119200148	D3YVV1	1	0	0	0	0	0	0	0	0
150	chr1	119200149	120000149	E9PX70	1	1	0	0	0	1	1	1	0
151	chr1	120000150	120800150	F8WGU1	1	-1	0	0	0	0	0	0	0
152	chr1	120800151	121600151	H3BL26	1	0	0	-1	-1	-1	-1	1	0
153	chr1	121600152	122400152	O88502	1	-1	-1	0	-1	0	0	0	0
154	chr1	122400153	123200153	P39876	1	1	1	-1	0	-1	-1	1	0
155	chr1	123200154	124000154	Q14BL1	1	0	0	0	0	0	0	0	0
156	chr1	124000155	124800155	Q60961	1	1	-1	1	0	0	1	1	0
157	chr1	124800156	125600156	Q61941	1	0	0	1	1	0	0	0	0
158	chr1	125600157	126400157	Q64430	1	0	-1	0	-1	0	0	0	0
159	chr1	126400158	127200158	Q8BHE8	1	0	0	1	0	0	0	0	0
160	chr1	127200159	128000159	Q91YE7	1	-1	-1	0	0	0	0	0	0
161	chr1	128000160	128800160	Q9CQK7	1	0	0	1	1	0	1	1	0
162	chr1	128800161	129600161	Q9EPR5	1	1	0	0	0	0	0	0	0
163	chr1	129600162	130400162	A2A8R9	1	0	0	0	0	0	0	0	2
164	chr1	130400163	131200163	A2AQY3	1	1	0	0	0	1	0	0	2
165	chr1	131200164	132000164	D3YVW2	1	-1	-1	0	0	0	0	0	2
166	chr1	132000165	132800165	F7C279	1	-1	-1	0	0	0	0	0	2
167	chr1	132800166	133600166	G5E829	1	-1	-1	0	0	0	0	0	2
168	chr1	133600167	134400167	G5E830	1	0	0	1	1	0	0	0	2
169	chr1	134400168	135200168	H3BJ71	1	-1	-1	0	0	0	0	0	2
170	chr1	135200169	136000169	O09159	1	1	1	N/A	N/A	0	0	0	2
171	chr1	136000170	136800170	O35245	1	0	0	0	0	0	-1	1	2
172	chr1	136800171	137600171	O70503	1	-1	-1	0	0	0	0	0	2
173	chr1	137600172	138400172	P15379	1	-1	-1	-1	-1	0	-1	1	2
174	chr1	138400173	139200173	P18572	1	-1	-1	-1	-1	-1	-1	1	2
175	chr1	139200174	140000174	P27046	1	-1	-1	0	0	0	0	0	2
176	chr1	140000175	140800175	P35441	1	1	0	0	-1	0	0	0	2
177	chr1	140800176	141600176	P37040	1	-1	-1	-1	-1	0	0	0	2
178	chr1	141600177	142400177	P43883	1	-1	-1	1	-1	0	0	0	2
179	chr1	142400178	143200178	P58281	1	0	0	0	0	0	0	0	2
180	chr1	143200179	144000179	P59017	1	0	0	0	0	0	0	0	2
181	chr1	144000180	144800180	P60521	1	1	1	0	0	1	0	0	2
182	chr1	144800181	145600181	Q07113	1	0	0	0	0	0	0	0	2
183	chr1	145600182	146400182	Q09163	1	-1	-1	-1	0	0	-1	1	2
184	chr1	146400183	147200183	Q1XID4	1	0	0	1	1	-1	0	0	2
185	chr1	147200184	148000184	Q3THM8	1	-1	-1	0	0	0	0	0	2
186	chr1	148000185	148800185	Q3TMX0	1	1	1	1	1	1	1	1	2
187	chr1	148800186	149600186	Q4FJY3	1	0	-1	1	1	0	0	0	2
188	chr1	149600187	150400187	Q542D9	1	0	0	0	0	0	0	0	2
189	chr1	150400188	151200188	Q61584	1	0	0	0	0	0	0	0	2
190	chr1	151200189	152000189	Q62009	1	0	0	0	0	-1	-1	1	2
191	chr1	152000190	152800190	Q64337	1	1	1	1	1	0	-1	1	2
192	chr1	152800191	153600191	Q6GTJ9	1	0	0	0	0	0	0	0	2
193	chr1	153600192	154400192	Q6P1H6	1	0	0	1	0	0	0	0	2
194	chr1	154400193	155200193	Q8BH04	1	0	0	1	0	0	1	1	2
195	chr1	155200194	156000194	Q8BM72	1	0	-1	0	1	0	0	0	2
196	chr1	156000195	156800195	Q8BMG8	1	1	0	0	1	0	0	0	2
197	chr1	156800196	157600196	Q8BVE8	1	0	0	0	0	0	0	0	2
198	chr1	157600197	158400197	Q8C129	1	1	1	0	0	0	0	0	2
199	chr1	158400198	159200198	Q8K4Q8	1	0	0	0	0	0	0	0	2
200	chr1	159200199	160000199	Q8R404	1	0	0	0	0	0	0	0	2
201	chr1	160000200	160800200	Q8VBZ3	1	-1	-1	0	0	0	0	0	2
202	chr1	160800201	161600201	Q9CQ45	1	0	1	0	1	0	0	0	2
203	chr1	161600202	162400202	Q9D281	1	-1	-1	-1	0	0	0	0	2
204	chr1	162400203	163200203	Q9DBZ1	1	0	0	0	0	-1	0	0	2
205	chr1	163200204	164000204	Q9JHF5	1	0	0	0	0	0	0	0	2
206	chr1	164000205	164800205	Q9R1B9	1	1	1	0	-1	0	1	1	2
207	chr1	164800206	165600206	Q9WV91	1	-1	-1	0	0	0	0	0	2
208	chr1	165600207	166400207	Q9WVJ3	1	1	1	-1	-1	0	0	0	2
209	chr1	166400208	167200208	Q9Z247	1	0	0	0	0	0	0	0	2
210	chr1	167200209	168000209	Q9Z2I0	1	0	0	0	0	0	0	0	2
211	chr1	168000210	168800210	O88696	1	0	0	0	0	0	0	0	2
212	chr1	168800211	169600211	Q3TSS7	1	0	0	0	0	1	1	1	2
213	chr1	169600212	170400212	Q8VCX5	1	0	0	0	0	0	0	0	2
214	chr1	170400213	171200213	A2ALW3	1	0	0	0	-1	1	0	0	1
215	chr1	171200214	172000214	A2CG14	1	0	0	0	0	0	0	0	1
216	chr1	172000215	172800215	A2RSV8	1	0	0	0	0	0	0	0	1
217	chr1	172800216	173600216	B2RUP8	1	1	1	0	0	0	0	0	1
218	chr1	173600217	174400217	B9EHY2	1	0	0	0	0	0	0	0	1
219	chr1	174400218	175200218	E9Q7U2	1	1	1	1	1	0	0	0	1
220	chr1	175200219	176000219	E9QAH1	1	-1	-1	0	0	0	0	0	1
221	chr1	176000220	176800220	O08832	1	0	0	0	0	0	0	0	1
222	chr1	176800221	177600221	O89001	1	-1	-1	0	0	0	0	0	1
223	chr1	177600222	178400222	O89051	1	0	0	1	1	-1	0	0	1
224	chr1	178400223	179200223	P06797	1	1	1	N/A	N/A	1	0	0	1
225	chr1	179200224	180000224	P11438	1	0	0	-1	-1	0	0	0	1
226	chr1	180000225	180800225	P21995	1	-1	-1	-1	0	-1	-1	1	1
227	chr1	180800226	181600226	P48962	1	0	0	0	0	0	0	0	1
228	chr1	181600227	182400227	P53986	1	-1	-1	-1	-1	-1	-1	1	1
229	chr1	182400228	183200228	P70280	1	-1	-1	0	1	-1	0	0	1
230	chr1	183200229	184000229	P97792	1	-1	0	0	1	0	0	0	1
231	chr1	184000230	184800230	Q3U962	1	1	1	0	0	-1	0	0	1
232	chr1	184800231	185600231	Q3UDC9	1	0	0	0	0	0	0	0	1
233	chr1	185600232	186400232	Q61739	1	N/A	N/A	N/A	N/A	0	0	0	1
234	chr1	186400233	187200233	Q62470	1	-1	-1	0	0	0	0	0	1
235	chr1	187200234	188000234	Q6DID7	1	-1	0	0	0	0	0	0	1
236	chr1	188000235	188800235	Q7TMR0	1	1	1	0	0	0	1	1	1
237	chr1	188800236	189600236	Q8BMK4	1	0	0	0	0	0	0	0	1
238	chr1	189600237	190400237	Q8BP40	1	-1	-1	1	0	0	0	0	1
239	chr1	190400238	191200238	Q8BP92	1	0	0	1	1	0	0	0	1
240	chr1	191200239	192000239	Q8BTX9	1	N/A	N/A	0	0	0	0	0	1
241	chr1	192000240	192800240	Q8BVU5	1	0	-1	0	-1	0	0	0	1
242	chr1	192800241	193600241	Q8C6F5	1	-1	0	0	0	0	0	0	1
243	chr1	193600242	194400242	Q8K135	1	0	0	0	0	0	-1	1	1
244	chr1	194400243	195200243	Q8R2Q8	1	-1	-1	0	0	-1	-1	1	1
245	chr1	195200244	196000244	Q8R2Y2	1	-1	-1	0	-1	-1	-1	1	1
246	chr1	196000245	196800245	Q8VDL4	1	-1	-1	0	0	0	0	0	1
247	chr1	196800246	197600246	Q8VDN2	1	-1	-1	0	0	0	0	0	1
248	chr1	197600247	198400247	Q99M71	1	1	0	0	0	0	0	0	1
249	chr1	198400248	199200248	Q9CXT7	1	-1	-1	-1	-1	-1	-1	1	1
250	chr1	199200249	200000249	Q9CZR8	1	0	0	0	0	0	0	0	1
251	chr1	200000250	200800250	Q9EQJ0	1	-1	-1	0	-1	-1	-1	1	1
252	chr1	200800251	201600251	Q9R1Q6	1	-1	0	1	0	0	0	0	1
253	chr1	201600252	202400252	Q9WU62	1	-1	-1	0	0	0	0	0	1
254	chr1	202400253	203200253	Q9Z127	1	-1	-1	-1	-1	-1	-1	1	1
255	chr1	203200254	204000254	Q9Z2Z6	1	0	0	0	0	0	0	0	1
256	chr1	204000255	204800255	A2AUF6	1	0	0	0	0	0	0	0	1
257	chr1	204800256	205600256	B2RRF0	1	1	0	1	1	0	0	0	1
258	chr1	205600257	206400257	A2ADS0	1	-1	-1	0	1	-1	0	0	3
259	chr1	206400258	207200258	A2AJ15	1	-1	-1	-1	-1	0	0	0	3
260	chr1	207200259	208000259	A2AS71	1	-1	-1	-1	-1	0	-1	1	3
261	chr1	208000260	208800260	A2BFA6	1	1	1	0	-1	0	0	0	3
262	chr1	208800261	209600261	A3KGK1	1	0	0	0	0	0	0	0	3
263	chr1	209600262	210400262	B1AU73	1	-1	0	0	0	0	0	0	3
264	chr1	210400263	211200263	B2RXS4	1	0	0	1	1	0	0	0	3
265	chr1	211200264	212000264	D3Z2J6	1	-1	-1	0	0	0	0	0	3
266	chr1	212000265	212800265	E9PWK1	1	-1	-1	0	-1	-1	-1	1	3
267	chr1	212800266	213600266	E9PZQ3	1	0	0	0	1	0	0	0	3
268	chr1	213600267	214400267	E9QMH7	1	-1	0	0	0	0	0	0	3
269	chr1	214400268	215200268	F8WHM5	1	1	1	1	1	0	0	0	3
270	chr1	215200269	216000269	G5E899	1	0	0	0	-1	0	0	0	3
271	chr1	216000270	216800270	G5E8D2	1	-1	-1	0	0	0	0	0	3
272	chr1	216800271	217600271	O08912	1	0	0	0	0	0	0	0	3
273	chr1	217600272	218400272	O35114	1	1	0	0	0	0	0	0	3
274	chr1	218400273	219200273	O35129	1	0	0	0	0	0	0	0	3
275	chr1	219200274	220000274	O35598	1	-1	-1	0	-1	-1	0	0	3
276	chr1	220000275	220800275	O54965	1	0	0	N/A	N/A	-1	0	0	3
277	chr1	220800276	221600276	O70252	1	0	-1	0	0	0	0	0	3
278	chr1	221600277	222400277	P10605	1	1	1	0	-1	0	0	0	3
279	chr1	222400278	223200278	P16675	1	1	1	0	-1	0	0	0	3
280	chr1	223200279	224000279	P17047	1	0	0	-1	-1	0	0	0	3
281	chr1	224000280	224800280	P18406	1	1	0	1	1	0	0	0	3
282	chr1	224800281	225600281	P21956	1	0	0	0	0	-1	-1	1	3
283	chr1	225600282	226400282	P28653	1	1	0	1	1	0	-1	1	3
284	chr1	226400283	227200283	P29533	1	-1	-1	0	0	-1	-1	1	3
285	chr1	227200284	228000284	P41731	1	0	0	-1	-1	0	0	0	3
286	chr1	228000285	228800285	P49817	1	-1	-1	0	0	-1	0	0	3
287	chr1	228800286	229600286	P52800	1	-1	-1	-1	-1	0	-1	1	3
288	chr1	229600287	230400287	P53690	1	1	1	1	1	0	0	0	3
289	chr1	230400288	231200288	P54071	1	0	0	0	0	0	0	0	3
290	chr1	231200289	232000289	P55288	1	1	0	1	1	0	0	0	3
291	chr1	232000290	232800290	P59325	1	0	0	0	-1	1	0	0	3
292	chr1	232800291	233600291	P70452	1	-1	-1	-1	-1	-1	-1	1	3
293	chr1	233600292	234400292	P97300	1	N/A	N/A	N/A	N/A	0	0	0	3
294	chr1	234400293	235200293	P97300	1	-1	-1	-1	-1	-1	-1	1	3
295	chr1	235200294	236000294	Q00493	1	1	0	0	0	0	0	0	3
296	chr1	236000295	236800295	Q3TWF3	1	0	0	1	1	-1	0	0	3
297	chr1	236800296	237600296	Q3UKC1	1	1	1	1	1	0	0	0	3
298	chr1	237600297	238400297	Q4PZA2	1	0	0	0	0	0	0	0	3
299	chr1	238400298	239200298	Q545I6	1	1	1	0	-1	1	0	0	3
300	chr1	239200299	240000299	Q60766	1	0	0	0	0	0	0	0	3
301	chr1	240000300	240800300	Q60932	1	0	0	0	0	0	0	0	3
302	chr1	240800301	241600301	Q62086	1	-1	-1	-1	-1	-1	-1	1	3
303	chr1	241600302	242400302	Q62087	1	-1	-1	0	0	-1	-1	1	3
304	chr1	242400303	243200303	Q62371	1	0	0	0	1	0	0	0	3
305	chr1	243200304	244000304	Q64449	1	0	0	0	0	0	0	0	3
306	chr1	244000305	244800305	Q6XLQ8	1	0	0	1	1	0	0	0	3
307	chr1	244800306	245600306	Q78P93	1	1	1	0	-1	0	0	0	3
308	chr1	245600307	246400307	Q80WJ7	1	-1	-1	0	0	0	0	0	3
309	chr1	246400308	247200308	Q8BFR4	1	1	1	0	-1	0	0	0	3
310	chr1	247200309	248000309	Q8BJS4	1	0	-1	0	0	0	0	0	3
311	chr1	248000310	248800310	Q8BKE6	1	-1	-1	0	0	0	0	0	3
312	chr1	248800311	249600311	Q8R127	1	1	0	0	0	N/A	N/A	N/A	3
313	chr1	249600312	250400312	Q8R2Y0	1	-1	-1	0	0	0	0	0	3
314	chr1	250400313	251200313	Q8VE88	1	-1	-1	0	0	0	0	0	3
315	chr1	251200314	252000314	Q91ZX7	1	1	0	0	0	0	0	0	3
316	chr1	252000315	252800315	Q920A5	1	1	1	0	0	0	0	0	3
317	chr1	252800316	253600316	Q99KU0	1	-1	-1	0	0	0	0	0	3
318	chr1	253600317	254400317	Q99L04	1	-1	-1	0	0	-1	-1	1	3
319	chr1	254400318	255200318	Q99P91	1	1	0	1	1	N/A	N/A	N/A	3
320	chr1	255200319	256000319	Q9CQF9	1	0	0	0	1	0	0	0	3
321	chr1	256000320	256800320	Q9ET22	1	1	1	-1	-1	0	0	0	3
322	chr1	256800321	257600321	Q9JKF7	1	0	0	0	0	0	0	0	3
323	chr1	257600322	258400322	Q544G5	1	-1	-1	-1	-1	-1	-1	1	3
324	chr1	258400323	259200323	Q8BGH2	1	0	-1	0	0	-1	0	0	3
325	chr1	259200324	260000324	D3YZ22	1	0	0	0	0	0	0	0	3
326	chr1	260000325	260800325	D3Z148	1	0	0	1	0	0	0	0	3
327	chr1	260800326	261600326	Q8C4F9	1	0	0	-1	-1	0	-1	1	3
328	chr1	261600327	262400327	Q91VK2	1	-1	0	-1	-1	1	1	1	3
