Accession	Protein name	Molecular Weight	pacFA.hit
Q00993	Tyrosine-protein kinase receptor UFO OS=Mus musculus GN=Axl PE=1 SV=2	98 kDa	0
Q3TCN2	Putative phospholipase B-like 2 OS=Mus musculus GN=Plbd2 PE=1 SV=2	66 kDa	0
Q3TRJ7	SH3-domain GRB2-like 1 OS=Mus musculus GN=Sh3gl1 PE=2 SV=1	42 kDa	0
Q3UCW0	MCG123182 OS=Mus musculus GN=Tsg101 PE=2 SV=1	44 kDa	0
Q3UKC1	Tax1-binding protein 1 homolog OS=Mus musculus GN=Tax1bp1 PE=1 SV=2	94 kDa	0
Q4PZA2	Endothelin-converting enzyme 1 OS=Mus musculus GN=Ece1 PE=1 SV=1	87 kDa	0
Q543C0	Transforming growth factor, beta receptor II, isoform CRA_b OS=Mus musculus GN=Tgfbr2 PE=2 SV=1	67 kDa	0
Q544G5	Dystroglycan 1 OS=Mus musculus GN=Dag1 PE=2 SV=1	97 kDa	0
Q5SQ20	Pescadillo homolog OS=Mus musculus GN=Pes1 PE=2 SV=1	68 kDa	0
Q62371	Discoidin domain-containing receptor 2 OS=Mus musculus GN=Ddr2 PE=1 SV=2	96 kDa	0
Q8BFR4	N-acetylglucosamine-6-sulfatase OS=Mus musculus GN=Gns PE=2 SV=1	61 kDa	0
Q8CDN6	Thioredoxin-like protein 1 OS=Mus musculus GN=Txnl1 PE=1 SV=3	32 kDa	0
Q8K0B2	Probable lysosomal cobalamin transporter OS=Mus musculus GN=Lmbrd1 PE=1 SV=1	61 kDa	0
Q8R2G6	Coiled-coil domain-containing protein 80 OS=Mus musculus GN=Ccdc80 PE=1 SV=2	108 kDa	0
Q8VEB4	Group XV phospholipase A2 OS=Mus musculus GN=Pla2g15 PE=1 SV=1	47 kDa	0
Q91XX1	Protein Pcdhga12 OS=Mus musculus GN=Pcdhgc3 PE=2 SV=1	101 kDa	0
Q91ZX7	Prolow-density lipoprotein receptor-related protein 1 OS=Mus musculus GN=Lrp1 PE=1 SV=1	505 kDa	0
Q9DCH4	Eukaryotic translation initiation factor 3 subunit F OS=Mus musculus GN=Eif3f PE=1 SV=2	38 kDa	0
Q9ET22	Dipeptidyl peptidase 2 OS=Mus musculus GN=Dpp7 PE=2 SV=2	56 kDa	0
B2RXS4	Plexin-B2 OS=Mus musculus GN=Plxnb2 PE=1 SV=1	206 kDa	0
A2AU61	HnRNP-associated with lethal yellow (Fragment) OS=Mus musculus GN=C130057N11Rik PE=4 SV=1	23 kDa	1
E9PW66	Nucleosome assembly protein 1-like 1 OS=Mus musculus GN=Nap1l1 PE=3 SV=1	49 kDa	1
E9Q0S1	Gap junction protein OS=Mus musculus GN=Gja1 PE=3 SV=1	49 kDa	1
E9Q1Y3	Protein Apob (Fragment) OS=Mus musculus GN=Apob PE=4 SV=1	504 kDa	1
E9Q5W3	Cathepsin Z OS=Mus musculus GN=Ctsz PE=3 SV=1	34 kDa	1
E9Q9H0	Disks large homolog 1 OS=Mus musculus GN=Dlg1 PE=4 SV=1	101 kDa	1
F8WHM5	Golgi apparatus protein 1 (Fragment) OS=Mus musculus GN=Glg1 PE=4 SV=1	132 kDa	1
O35646	Calpain-6 OS=Mus musculus GN=Capn6 PE=1 SV=2	75 kDa	1
O89023	Tripeptidyl-peptidase 1 OS=Mus musculus GN=Tpp1 PE=1 SV=2	61 kDa	1
P01029	Complement C4-B OS=Mus musculus GN=C4b PE=1 SV=3	193 kDa	1
P18242	Cathepsin D OS=Mus musculus GN=Ctsd PE=1 SV=1	45 kDa	1
P21956	Lactadherin OS=Mus musculus GN=Mfge8 PE=1 SV=3	51 kDa	1
P35550	rRNA 2'-O-methyltransferase fibrillarin OS=Mus musculus GN=Fbl PE=1 SV=2	34 kDa	1
P61161	Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1	45 kDa	1
Q01721	Growth arrest-specific protein 1 OS=Mus musculus GN=Gas1 PE=2 SV=2	36 kDa	1
Q03145	Ephrin type-A receptor 2 OS=Mus musculus GN=Epha2 PE=1 SV=3	109 kDa	1
Q3UD58	Taxilin alpha OS=Mus musculus GN=Txlna PE=2 SV=1	62 kDa	1
Q3UL54	Protein Rsl1d1 OS=Mus musculus GN=Rsl1d1 PE=2 SV=1	52 kDa	1
Q63918	Serum deprivation-response protein OS=Mus musculus GN=Sdpr PE=1 SV=3	47 kDa	1
Q64449	C-type mannose receptor 2 OS=Mus musculus GN=Mrc2 PE=1 SV=3	167 kDa	1
Q80T06	Elongation factor 1-delta OS=Mus musculus GN=Eef1d PE=2 SV=1	31 kDa	1
Q8BWY3	Eukaryotic peptide chain release factor subunit 1 OS=Mus musculus GN=Etf1 PE=1 SV=4	49 kDa	1
Q8CFE6	Sodium-coupled neutral amino acid transporter 2 OS=Mus musculus GN=Slc38a2 PE=1 SV=1	56 kDa	1
Q920A5	Retinoid-inducible serine carboxypeptidase OS=Mus musculus GN=Scpep1 PE=2 SV=2	51 kDa	1
Q9DC51	Guanine nucleotide-binding protein G(k) subunit alpha OS=Mus musculus GN=Gnai3 PE=1 SV=3	41 kDa	1
Q9JKF7	39S ribosomal protein L39, mitochondrial OS=Mus musculus GN=Mrpl39 PE=2 SV=4	39 kDa	1
Q9R0X4	Acyl-coenzyme A thioesterase 9, mitochondrial OS=Mus musculus GN=Acot9 PE=1 SV=1	51 kDa	1
A2AFL4	Glucosidase, alpha, acid OS=Mus musculus GN=Gaa PE=4 SV=1	106 kDa	2
E9PYH8	Histone-binding protein RBBP4 OS=Mus musculus GN=Rbbp4 PE=4 SV=1	52 kDa	2
E9QL91	Gamma-secretase C-terminal fragment 59 OS=Mus musculus GN=App PE=4 SV=1	83 kDa	2
G3X8T3	Lysosomal protective protein OS=Mus musculus GN=Ctsa PE=4 SV=1	56 kDa	2
G5E8D2	Interleukin 6 signal transducer OS=Mus musculus GN=Il6st PE=4 SV=1	102 kDa	2
O08749	Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2	54 kDa	2
O08912	Polypeptide N-acetylgalactosaminyltransferase 1 OS=Mus musculus GN=Galnt1 PE=1 SV=1	64 kDa	2
O35598	Disintegrin and metalloproteinase domain-containing protein 10 OS=Mus musculus GN=Adam10 PE=1 SV=2	84 kDa	2
O54724	Polymerase I and transcript release factor OS=Mus musculus GN=Ptrf PE=1 SV=1	44 kDa	2
O54825	Bystin OS=Mus musculus GN=Bysl PE=1 SV=3	50 kDa	2
P02340	Cellular tumor antigen p53 OS=Mus musculus GN=Tp53 PE=1 SV=3	43 kDa	2
P28653	Biglycan OS=Mus musculus GN=Bgn PE=2 SV=1	42 kDa	2
P29533	Vascular cell adhesion protein 1 OS=Mus musculus GN=Vcam1 PE=1 SV=1	81 kDa	2
P51863	V-type proton ATPase subunit d 1 OS=Mus musculus GN=Atp6v0d1 PE=1 SV=2	40 kDa	2
P53690	Matrix metalloproteinase-14 OS=Mus musculus GN=Mmp14 PE=2 SV=3	66 kDa	2
Q3ULF7	Actr3 protein OS=Mus musculus GN=Actr3 PE=2 SV=1	47 kDa	2
Q60749	KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Mus musculus GN=Khdrbs1 PE=1 SV=2	48 kDa	2
Q61576	Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Mus musculus GN=Fkbp10 PE=1 SV=2	65 kDa	2
Q6ZWN5	40S ribosomal protein S9 OS=Mus musculus GN=Rps9 PE=2 SV=3	23 kDa	2
Q7M6Y3	Phosphatidylinositol-binding clathrin assembly protein OS=Mus musculus GN=Picalm PE=1 SV=1	72 kDa	2
Q91VD9	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Mus musculus GN=Ndufs1 PE=1 SV=2	80 kDa	2
Q99L04	Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=2 SV=1	34 kDa	2
Q99P91	Transmembrane glycoprotein NMB OS=Mus musculus GN=Gpnmb PE=1 SV=2	64 kDa	2
Q9DB20	ATP synthase subunit O, mitochondrial OS=Mus musculus GN=Atp5o PE=1 SV=1	23 kDa	2
A2ADS0	Syntaxin 12 OS=Mus musculus GN=Stx12 PE=3 SV=1	31 kDa	2
D3YVM2	Transmembrane protein 59 OS=Mus musculus GN=Tmem59 PE=4 SV=1	29 kDa	2
O35114	Lysosome membrane protein 2 OS=Mus musculus GN=Scarb2 PE=1 SV=3	54 kDa	2
P41731	CD63 antigen OS=Mus musculus GN=Cd63 PE=1 SV=2	26 kDa	2
P53026	60S ribosomal protein L10a OS=Mus musculus GN=Rpl10a PE=1 SV=3	25 kDa	2
P62334	26S protease regulatory subunit 10B OS=Mus musculus GN=Psmc6 PE=1 SV=1	44 kDa	2
Q9Z0L0	Trophoblast glycoprotein OS=Mus musculus GN=Tpbg PE=1 SV=3	46 kDa	2
A2A8U0	Novel protein OS=Mus musculus GN=4732418C07Rik PE=4 SV=1	54 kDa	3
A2AIW8	Peptidase (Mitochondrial processing) alpha OS=Mus musculus GN=Pmpca PE=3 SV=1	58 kDa	3
A2AJ15	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Mus musculus GN=Man1b1 PE=2 SV=1	75 kDa	3
A2ALM8	B-cell receptor-associated protein 31 OS=Mus musculus GN=Bcap31 PE=4 SV=1	28 kDa	3
A2ANM4	Methylthioadenosine phosphorylase OS=Mus musculus GN=Mtap PE=4 SV=1	31 kDa	3
A2AQV2	Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14 OS=Mus musculus GN=Chst14 PE=4 SV=1	40 kDa	3
A2AS71	DnaJ (Hsp40) homolog, subfamily C, member 1 OS=Mus musculus GN=Dnajc1 PE=4 SV=1	64 kDa	3
A3KGK1	ERGIC and golgi 3 OS=Mus musculus GN=Ergic3 PE=4 SV=1	43 kDa	3
B1AU74	Motile sperm domain containing 2 OS=Mus musculus GN=Mospd2 PE=4 SV=1	60 kDa	3
B1AWE0	Clathrin light chain A OS=Mus musculus GN=Clta PE=4 SV=1	23 kDa	3
D3Z041	Long-chain-fatty-acid--CoA ligase 1 OS=Mus musculus GN=Acsl1 PE=4 SV=1	78 kDa	3
D3Z2J6	Thioredoxin-related transmembrane protein 2 OS=Mus musculus GN=Tmx2 PE=4 SV=1	30 kDa	3
E9PYT3	Atlastin-3 OS=Mus musculus GN=Atl3 PE=4 SV=1	60 kDa	3
E9PZ00	Sulfated glycoprotein 1 OS=Mus musculus GN=Psap PE=4 SV=1	61 kDa	3
E9PZE1	Torsin-1A-interacting protein 1 OS=Mus musculus GN=Tor1aip1 PE=4 SV=1	67 kDa	3
E9Q035	Signal recognition particle receptor subunit beta OS=Mus musculus GN=Gm20425 PE=4 SV=1	108 kDa	3
E9Q1V5	Sphingomyelin phosphodiesterase 4 OS=Mus musculus GN=Smpd4 PE=4 SV=1	82 kDa	3
E9QJY4	Kinectin OS=Mus musculus GN=Ktn1 PE=4 SV=1	146 kDa	3
E9QMH7	Inhibitor of nuclear factor kappa-B kinase-interacting protein OS=Mus musculus GN=Ikbip PE=4 SV=1	42 kDa	3
G3X9L4	Coagulation factor III, isoform CRA_b OS=Mus musculus GN=F3 PE=4 SV=1	33 kDa	3
O09005	Sphingolipid delta(4)-desaturase DES1 OS=Mus musculus GN=Degs1 PE=2 SV=1	38 kDa	3
O70252	Heme oxygenase 2 OS=Mus musculus GN=Hmox2 PE=2 SV=1	36 kDa	3
P03975	IgE-binding protein OS=Mus musculus GN=Iap PE=2 SV=1	63 kDa	3
P17047	Isoform LAMP-2C of Lysosome-associated membrane glycoprotein 2 OS=Mus musculus GN=Lamp2	46 kDa	3
P29758	Ornithine aminotransferase, mitochondrial OS=Mus musculus GN=Oat PE=1 SV=1	48 kDa	3
P31230	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Mus musculus GN=Aimp1 PE=1 SV=2	34 kDa	3
P32067	Lupus La protein homolog OS=Mus musculus GN=Ssb PE=2 SV=1	48 kDa	3
P49817	Caveolin-1 OS=Mus musculus GN=Cav1 PE=1 SV=1	21 kDa	3
P51150	Ras-related protein Rab-7a OS=Mus musculus GN=Rab7a PE=1 SV=2	23 kDa	3
P54071	Isocitrate dehydrogenase [NADP], mitochondrial OS=Mus musculus GN=Idh2 PE=1 SV=3	51 kDa	3
P59325	Eukaryotic translation initiation factor 5 OS=Mus musculus GN=Eif5 PE=1 SV=1	49 kDa	3
P62137	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Mus musculus GN=Ppp1ca PE=1 SV=1	38 kDa	3
P63085	Mitogen-activated protein kinase 1 OS=Mus musculus GN=Mapk1 PE=1 SV=3	41 kDa	3
P67778	Prohibitin OS=Mus musculus GN=Phb PE=1 SV=1	30 kDa	3
P70452	Syntaxin-4 OS=Mus musculus GN=Stx4 PE=1 SV=1	34 kDa	3
Q00493	Carboxypeptidase E OS=Mus musculus GN=Cpe PE=1 SV=2	53 kDa	3
Q02819	Nucleobindin-1 OS=Mus musculus GN=Nucb1 PE=1 SV=2	53 kDa	3
Q0VBU4	Coiled-coil domain containing 47 OS=Mus musculus GN=Ccdc47 PE=2 SV=1	56 kDa	3
Q3TKD1	MCG17786, isoform CRA_a OS=Mus musculus GN=Rfc3 PE=2 SV=1	41 kDa	3
Q3U339	RIKEN cDNA 9530068E07, isoform CRA_a OS=Mus musculus GN=9530068E07Rik PE=2 SV=1	28 kDa	3
Q3URS9	Coiled-coil domain-containing protein 51 OS=Mus musculus GN=Ccdc51 PE=2 SV=1	45 kDa	3
Q3US15	NAD(P) dependent steroid dehydrogenase-like OS=Mus musculus GN=Nsdhl PE=2 SV=1	41 kDa	3
Q4FJN9	Fdps protein OS=Mus musculus GN=Fdps PE=2 SV=1	41 kDa	3
Q5BKQ9	MCG19050, isoform CRA_d OS=Mus musculus GN=Psmd11 PE=2 SV=1	47 kDa	3
Q5SS80	Dehydrogenase/reductase SDR family member 13 OS=Mus musculus GN=Dhrs13 PE=1 SV=1	41 kDa	3
Q5SX74	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (Proline 4-hydroxylase), alpha II polypeptide OS=Mus musculus GN=P4ha2 PE=2 SV=1	61 kDa	3
Q61425	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial OS=Mus musculus GN=Hadh PE=1 SV=2	34 kDa	3
Q62086	Serum paraoxonase/arylesterase 2 OS=Mus musculus GN=Pon2 PE=1 SV=2	40 kDa	3
Q62087	Serum paraoxonase/lactonase 3 OS=Mus musculus GN=Pon3 PE=1 SV=2	39 kDa	3
Q78P93	Acid ceramidase OS=Mus musculus GN=Asah1 PE=2 SV=1	45 kDa	3
Q80V26	Inositol monophosphatase 3 OS=Mus musculus GN=Impad1 PE=1 SV=1	39 kDa	3
Q8BGH2	Sorting and assembly machinery component 50 homolog OS=Mus musculus GN=Samm50 PE=1 SV=1	52 kDa	3
Q8BH40	Syntaxin 7 OS=Mus musculus GN=Stx7 PE=2 SV=1	30 kDa	3
Q8BJS4	SUN domain-containing protein 2 OS=Mus musculus GN=Sun2 PE=1 SV=3	82 kDa	3
Q8BKE6	Cytochrome P450 20A1 OS=Mus musculus GN=Cyp20a1 PE=2 SV=1	52 kDa	3
Q8BM55	Transmembrane protein 214 OS=Mus musculus GN=Tmem214 PE=2 SV=1	76 kDa	3
Q8C7K6	Prenylcysteine oxidase-like OS=Mus musculus GN=Pcyox1l PE=2 SV=1	55 kDa	3
Q8R127	Saccharopine dehydrogenase-like oxidoreductase OS=Mus musculus GN=Sccpdh PE=2 SV=1	47 kDa	3
Q8R2Y0	Monoacylglycerol lipase ABHD6 OS=Mus musculus GN=Abhd6 PE=2 SV=1	38 kDa	3
Q8R3H7	Heparan sulfate 2-O-sulfotransferase 1 OS=Mus musculus GN=Hs2st1 PE=1 SV=2	42 kDa	3
Q8R4R6	Nucleoporin NUP53 OS=Mus musculus GN=Nup35 PE=1 SV=2	35 kDa	3
Q8VE88	Isoform 2 of Protein FAM114A2 OS=Mus musculus GN=Fam114a2	53 kDa	3
Q91V61	Sideroflexin-3 OS=Mus musculus GN=Sfxn3 PE=1 SV=1	35 kDa	3
Q91X78	Erlin-1 OS=Mus musculus GN=Erlin1 PE=2 SV=1	39 kDa	3
Q922J9	Fatty acyl-CoA reductase 1 OS=Mus musculus GN=Far1 PE=1 SV=1	59 kDa	3
Q99KU0	Vacuole membrane protein 1 OS=Mus musculus GN=Vmp1 PE=2 SV=2	46 kDa	3
Q99P72	Reticulon-4 OS=Mus musculus GN=Rtn4 PE=1 SV=2	127 kDa	3
Q9CRD0	OCIA domain-containing protein 1 OS=Mus musculus GN=Ociad1 PE=1 SV=1	28 kDa	3
Q9CXY6	Interleukin enhancer-binding factor 2 OS=Mus musculus GN=Ilf2 PE=1 SV=1	43 kDa	3
Q9CY50	Translocon-associated protein subunit alpha OS=Mus musculus GN=Ssr1 PE=1 SV=1	32 kDa	3
Q9D379	Epoxide hydrolase 1 OS=Mus musculus GN=Ephx1 PE=1 SV=2	53 kDa	3
Q9D6R2	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Mus musculus GN=Idh3a PE=1 SV=1	40 kDa	3
Q9D880	Mitochondrial import inner membrane translocase subunit TIM50 OS=Mus musculus GN=Timm50 PE=1 SV=1	40 kDa	3
Q9DBL9	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 OS=Mus musculus GN=Abhd5 PE=1 SV=1	39 kDa	3
Q9DBS1	Transmembrane protein 43 OS=Mus musculus GN=Tmem43 PE=1 SV=1	45 kDa	3
Q9EPE9	Probable cation-transporting ATPase 13A1 OS=Mus musculus GN=Atp13a1 PE=1 SV=2	132 kDa	3
Q9QZQ8	Core histone macro-H2A.1 OS=Mus musculus GN=H2afy PE=1 SV=3	40 kDa	3
Q9R099	Transducin beta-like protein 2 OS=Mus musculus GN=Tbl2 PE=2 SV=2	50 kDa	3
Q9WV55	Vesicle-associated membrane protein-associated protein A OS=Mus musculus GN=Vapa PE=1 SV=2	28 kDa	3
P51881	ADP/ATP translocase 2 OS=Mus musculus GN=Slc25a5 PE=1 SV=3	33 kDa	3
P53811	Phosphatidylinositol transfer protein beta isoform OS=Mus musculus GN=Pitpnb PE=1 SV=2	31 kDa	3
P97300	Neuroplastin OS=Mus musculus GN=Nptn PE=1 SV=3	44 kDa	3
Q60766	Immunity-related GTPase family M protein 1 OS=Mus musculus GN=Irgm1 PE=1 SV=1	47 kDa	3
Q80WJ7	Protein LYRIC OS=Mus musculus GN=Mtdh PE=1 SV=1	64 kDa	3
Q9CQF9	Prenylcysteine oxidase OS=Mus musculus GN=Pcyox1 PE=1 SV=1	56 kDa	3
Q9Z0R9	Fatty acid desaturase 2 OS=Mus musculus GN=Fads2 PE=2 SV=1	52 kDa	3
O35129	Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1	33 kDa	3
Q60932	Voltage-dependent anion-selective channel protein 1 OS=Mus musculus GN=Vdac1 PE=1 SV=3	32 kDa	3
Q8K0C4	Lanosterol 14-alpha demethylase OS=Mus musculus GN=Cyp51a1 PE=2 SV=1	57 kDa	3
Q922Q8	Leucine-rich repeat-containing protein 59 OS=Mus musculus GN=Lrrc59 PE=2 SV=1	35 kDa	3
A2A5A0	ATPase, H+ transporting, lysosomal V0 subunit A1, isoform CRA_j OS=Mus musculus GN=Atp6v0a1 PE=4 SV=1	96 kDa	0
A2A5E2	DnaJ (Hsp40) homolog, subfamily C, member 7 OS=Mus musculus GN=Dnajc7 PE=4 SV=1	56 kDa	0
A2A6E3	CDK5 regulatory subunit associated protein 3 OS=Mus musculus GN=Cdk5rap3 PE=4 SV=1	57 kDa	0
A2A7S7	Tyrosine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Yars PE=4 SV=1	63 kDa	0
A2AA61	Nucleolar protein family A, member 2 OS=Mus musculus GN=Nhp2 PE=4 SV=1	17 kDa	0
A2APX2	Cystatin C OS=Mus musculus GN=Cst3 PE=4 SV=1	16 kDa	0
A6X8Z3	Insulin-like growth factor 2 mRNA binding protein 2 OS=Mus musculus GN=Igf2bp2 PE=4 SV=1	58 kDa	0
B0V2N1	Receptor-type tyrosine-protein phosphatase S OS=Mus musculus GN=Ptprs PE=2 SV=1	212 kDa	0
B1AW02	Family with sequence similarity 176, member B OS=Mus musculus GN=Fam176b PE=4 SV=1	18 kDa	0
B2RY48	Probable histone-lysine N-methyltransferase NSD2 OS=Mus musculus GN=Whsc1 PE=2 SV=1	69 kDa	0
B8JJL8	Programmed cell death 6 interacting protein OS=Mus musculus GN=Pdcd6ip PE=4 SV=1	97 kDa	0
B8JJY5	Ectonucleotide pyrophosphatase/phosphodiesterase 4 OS=Mus musculus GN=Enpp4 PE=4 SV=1	52 kDa	0
D3YUE2	Procollagen C-endopeptidase enhancer 1 OS=Mus musculus GN=Pcolce PE=4 SV=1	53 kDa	0
D3Z722	40S ribosomal protein S19 OS=Mus musculus GN=Rps19 PE=4 SV=1	23 kDa	0
E9PWK7	Ephrin type-B receptor 4 OS=Mus musculus GN=Ephb4 PE=4 SV=1	103 kDa	0
E9PWY6	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Mus musculus GN=Gcat PE=3 SV=1	41 kDa	0
E9PZZ3	Protein Tpr OS=Mus musculus GN=Tpr PE=4 SV=1	274 kDa	0
E9Q5E1	Protocadherin-19 OS=Mus musculus GN=Pcdh19 PE=4 SV=1	121 kDa	0
E9QM77	Ataxin-2 OS=Mus musculus GN=Atxn2 PE=4 SV=1	136 kDa	0
F6R9D8	Fragile X mental retardation syndrome-related protein 1 OS=Mus musculus GN=Fxr1 PE=4 SV=1	76 kDa	0
F8WIY0	Isocitrate dehydrogenase [NADP] OS=Mus musculus GN=Idh1 PE=3 SV=1	47 kDa	0
G3X977	Inter-alpha trypsin inhibitor, heavy chain 2 OS=Mus musculus GN=Itih2 PE=4 SV=1	106 kDa	0
G5E830	Connective tissue growth factor OS=Mus musculus GN=Ctgf PE=4 SV=1	38 kDa	0
G5E892	Chondroitin sulfate proteoglycan 4 OS=Mus musculus GN=Cspg4 PE=4 SV=1	252 kDa	0
H9H9R4	Uncharacterized protein OS=Mus musculus GN=0610031J06Rik PE=4 SV=1	37 kDa	0
O08992	Syntenin-1 OS=Mus musculus GN=Sdcbp PE=2 SV=1	32 kDa	0
O09159	Lysosomal alpha-mannosidase OS=Mus musculus GN=Man2b1 PE=2 SV=4	115 kDa	0
O55222	Integrin-linked protein kinase OS=Mus musculus GN=Ilk PE=1 SV=2	51 kDa	0
O70251	Elongation factor 1-beta OS=Mus musculus GN=Eef1b PE=1 SV=5	25 kDa	0
O88746	Target of Myb protein 1 OS=Mus musculus GN=Tom1 PE=1 SV=1	54 kDa	0
O89086	Putative RNA-binding protein 3 OS=Mus musculus GN=Rbm3 PE=1 SV=1	17 kDa	0
P07214	SPARC OS=Mus musculus GN=Sparc PE=1 SV=1	34 kDa	0
P09528	Ferritin heavy chain OS=Mus musculus GN=Fth1 PE=1 SV=2	21 kDa	0
P11087	Collagen alpha-1(I) chain OS=Mus musculus GN=Col1a1 PE=1 SV=4	138 kDa	0
P16045	Galectin-1 OS=Mus musculus GN=Lgals1 PE=1 SV=3	15 kDa	0
P20060	Beta-hexosaminidase subunit beta OS=Mus musculus GN=Hexb PE=2 SV=2	61 kDa	0
P24668	Cation-dependent mannose-6-phosphate receptor OS=Mus musculus GN=M6pr PE=1 SV=1	31 kDa	0
P26638	Serine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Sars PE=2 SV=3	58 kDa	0
P42669	Transcriptional activator protein Pur-alpha OS=Mus musculus GN=Pura PE=1 SV=1	35 kDa	0
P48759	Pentraxin-related protein PTX3 OS=Mus musculus GN=Ptx3 PE=1 SV=2	42 kDa	0
P54728	UV excision repair protein RAD23 homolog B OS=Mus musculus GN=Rad23b PE=1 SV=2	44 kDa	0
P54823	Probable ATP-dependent RNA helicase DDX6 OS=Mus musculus GN=Ddx6 PE=2 SV=1	54 kDa	0
P59999	Actin-related protein 2/3 complex subunit 4 OS=Mus musculus GN=Arpc4 PE=1 SV=3	20 kDa	0
P60521	Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Mus musculus GN=Gabarapl2 PE=2 SV=1	14 kDa	0
P62141	Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Mus musculus GN=Ppp1cb PE=1 SV=3	37 kDa	0
P62962	Profilin-1 OS=Mus musculus GN=Pfn1 PE=1 SV=2	15 kDa	0
P70206	Plexin-A1 OS=Mus musculus GN=Plxna1 PE=1 SV=1	211 kDa	0
P83870	PHD finger-like domain-containing protein 5A OS=Mus musculus GN=Phf5a PE=1 SV=1	12 kDa	0
Q01320	DNA topoisomerase 2-alpha OS=Mus musculus GN=Top2a PE=1 SV=2	173 kDa	0
Q06335	Amyloid-like protein 2 OS=Mus musculus GN=Aplp2 PE=1 SV=4	80 kDa	0
Q07113	Cation-independent mannose-6-phosphate receptor OS=Mus musculus GN=Igf2r PE=1 SV=1	274 kDa	0
Q09163	Protein delta homolog 1 OS=Mus musculus GN=Dlk1 PE=1 SV=1	41 kDa	0
Q11011	Puromycin-sensitive aminopeptidase OS=Mus musculus GN=Npepps PE=1 SV=2	103 kDa	0
Q3U1S6	Putative uncharacterized protein OS=Mus musculus GN=Csde1 PE=2 SV=1	89 kDa	0
Q3U2C5	E3 ubiquitin-protein ligase RNF149 OS=Mus musculus GN=Rnf149 PE=2 SV=3	43 kDa	0
Q499X7	Coronin, actin binding protein 1C OS=Mus musculus GN=Coro1c PE=2 SV=1	53 kDa	0
Q52KP0	MCG13615, isoform CRA_a OS=Mus musculus GN=Rpl38 PE=3 SV=1	8 kDa	0
Q543Y2	Putative uncharacterized protein OS=Mus musculus GN=Cd34 PE=2 SV=1	35 kDa	0
